ref;auteur;heros;titre;serie;prixPublic;prixEditeur;genre;refEdit;editeur;refFournisseur;fournisseur;resume;;
BD000360;AMOURIQ / ANDRE;LES ZYPERS;LES CHARIOTS SAUVAGES;;8.99;8.54;HUMOUR;276169;BAMBOO;9782912715203;HAVAS;Les Zypers d'AMOURIQ, c'est comme les grandes surfaces, une fois qu'on est entré, on ne peut pas s'empêcher de consommer ! Sauf qu'ici, il n'y a qu'un rayon : l'humour. Un rayon toujours bien achalandé ou chaque gag a l'art de titiller nos petits défauts de grands consommateurs. Prêts à subir l'assaut des Chariots Sauvages ? Alors à vos caddies et faites le plein de bonne humeur.;;
BD000361;TOME;LE PETIT SPIROU;PETIT SPIROU INTEGRALE N° 1;;13.57;12.89;HUMOUR;276944;NIFFLE COHEN;9782873930219;HAVAS;;;
BD000362;DETHAN;TANTE HENRIETTE;TANTE HENRIETTE OU L'ELOGE DE L'AVARICE - Rupture Editeur;;;;;;DELCOURT;;FLAMMARION;En 1976, lors de vacances dans le Périgord, une petite fille fait la connaissance de sa grand-tante. Issue de la très haute bourgeoisie, à l'abri du besoin toute sa vie, Tante Henriette a pourtant développé un trait de caractère très marqué que la petite fille découvre à travers son histoire personnelle et une série d'anecdotes étonnantes : elle a élevé l'avarice au rang d'un véritable art de vivre... Album 96 pages noir et blanc;10.52;9.99
BD000363;PELLEJERO / LAPIERE;;UN PEU DE FUMEE BLEUE;;12.04;11.44;AVENTURE;;DUPUIS;;HACHETTE;Une boîte ouverte. Six cigarettes alignées sur le comptoir. Écrits à la main, sur chacune d'elles, quelques mots. Mis bout à bout, les mots se font poème. Le tabac est vieux et les cigarettes laissent au fond de la bouche un goût amer. Pourquoi ces mots ? Quelle histoire derrière cette fumée qui s'échappe en volutes bleues ? Laura en connaît plusieurs débuts. Il y est question de prisonniers qui souffrent et de femmes qui pleurent. En connaît-elle la fin ?;;
BD000364;BALDAZZINI;CASA HOWHARD;CASA HOWHARD;;12.04;12.04;;5353073;GEISHA;;HACHETTE;Elégantes, féminines et mystérieuses. Une nouvelle race d'héroïnes, hommes et femmes à la fois !;;
BD000365;DENAYER / FRANZ;GORD;PACK GORD T1 + T4;;12.04;11.44;;5330824;JOKER EDITIONS;9782862651259;HACHETTE;;;
BD000366;DENAYER / FRANZ;GORD;COFFRET GORD 4 VOLUMES;;52.75;50.11;;5330923;JOKER EDITIONS;9782872651498;HACHETTE;;;
BD000367;BELIN / HERVAL;CAPTAIN PIRATE;CAPTAIN PIRATE - T1;;8.99;8.54;;5060009;NUCLEA;9782914235211;HACHETTE;Vous rêviez des Caraïbes, de ses plages de sable fin, des tropiques, vous allez être servis ! Hissez la grand voile, moussaillons, l'heure de l'aventure a sonné. Prenez un Captain, pirate au long cours, français, bourru et prêt à tout. Faites le cohabiter avec une jeune espagnole, Inès, petite gamine éprise de bonnes manières flibustières, en un mot, une teigne. Ajoutez un oncle âpre au gain, un gamin ravageur de St Malo et placez le tout en plein 17ème siècle. Une aventure pétillante et pleine d'humour qui vous entraîne dans de nombreux rebondissements à rythme soutenu.;;
BD000368;RUTHE;PAS SI BETE;PAS SI BETE - T1;;10.52;9.99;;5330832;JOKER EDITIONS;9782872651108;HACHETTE;;;
BD000369;RUTHE;PAS SI BETE;PAS SI BETE - T2;;10.52;9.99;;5330790;JOKER EDITIONS;9782872651368;HACHETTE;;;
BD000370;ARNON;;L'INVASION;;12.04;11.44;;6056535;ALBIN MICHEL;9782226114686;HACHETTE;;;
BD000371;BARU;;ROULEZ JEUNESSE;;18.29;17.6;;6023394;ALBIN MICHEL;9782226053251;HACHETTE;;;
BD000372;BENOIT;;LA PEAU DU LEOPARD - VERSION LUXE;;91.47;91.47;;6005532;ALBIN MICHEL;9782226115423;HACHETTE;;;
BD000373;ALCATENA;MARCO POLO;LES CARNETS SECRETS DE MARCO POLO;;18.29;17.6;;6062681;ALBIN MICHEL;9782226114839;HACHETTE;;;
BD000374;CABU;;A GAUCHE TOUTE;;8.99;8.54;;6055248;ALBIN MICHEL;9782226111333;HACHETTE;vous entraîne dans de nombreux rebondissements à rythme soutenu.;;
BD000375;COLLECTIF;;DEMAIN L'AN 3000;;13.57;12.89;;6054332;ALBIN MICHEL;9782226109958;HACHETTE;;;
BD000376;TAMBURINI / LIBERATORE / CHABAT;RANXEROX;COFFRET RANXEROX T1 A T3;;44.97;42.72;;9741398;ALBIN MICHEL;9782226116994;HACHETTE;;;
BD000377;FROMENTAL / FLOC'H;;UN HOMME DANS LA FOULE;;18.29;17.6;;6014427;ALBIN MICHEL;9782226023018;HACHETTE;;;
BD000378;JANO;;GAZOLINE ET PLANETE ROUGE;;7.93;7.53;;6051171;ALBIN MICHEL;9782226037251;HACHETTE;;;
BD000379;MATTOTI;;LE VOYAGE DE CABOTO;;14.94;14.19;;6051650;ALBIN MICHEL;9782226065650;HACHETTE;;;
BD000380;PETILLON;;ON AURA TOUT VU;;12.04;11.44;;6054902;ALBIN MICHEL;9782226111067;HACHETTE;;;
BD000381;PETILLON;;CA VA FAIRE M@L.COM;;12.04;11.44;;6062772;ALBIN MICHEL;9782226116437;HACHETTE;;;
BD000382;PICHARD;CARMEN;CARMEN;;5.95;5.65;;6002125;ALBIN MICHEL;9782226012678;HACHETTE;;;
BD000383;PICHARD;DON JUAN;LES EXPLOITS D'UN DON JUAN;;12.04;11.44;;6023329;ALBIN MICHEL;9782226053237;HACHETTE;;;
BD000384;REISER;LA VIE AU GRAND AIR;LA VIE AU GRAND AIR COFFRET T1 A T3;;31.56;29.98;;9741521;ALBIN MICHEL;9782226120151;HACHETTE;;;
BD000385;TRILLO / MANDRAFINA;LA GRANDE ARNAQUE;LA GRANDE ARNAQUE COFFRET 2 VOLUMES;;28.51;27.08;;9741695;ALBIN MICHEL;9782226120311;HACHETTE;;;
BD000386;RISSO / TRILLO;JE SUIS UN VAMPIRE;LA RESURRECTION - T1;;14.94;14.19;;6056501;ALBIN MICHEL;9782226114662;HACHETTE;;;
BD000387;CAMBIER / VERHOEST;BLAKE ET MORTIMER;HISTOIRE D'UN RETOUR MAKING OF BLAKE ET MORTIMER;;24.39;23.17;;20015;DARGAUD;9782205042627;MDS;;;
BD000388;VARENNE;;L'ART EROTIQUE D'ALEX VARENNE;;30.49;28.97;;6024491;ALBIN MICHEL;9782226055651;HACHETTE;;;
BD000389;VARENNE;;LA CORRECTION OU LA CONFUSION DES SENS;;19.82;18.83;;6038822;ALBIN MICHEL;9782226092093;HACHETTE;;;
BD000390;VUILLEMIN;LES SALES BLAGUES DE L'ECHO;LES SALES BLAGUES DE L'ECHO - T8;;8.99;8.54;;6062202;ALBIN MICHEL;9782226114778;HACHETTE;;;
BD000391;WOLINSKI;;ELLES SONT TOUTES FOLLES DE MOI;;13.57;12.89;;6062699;ALBIN MICHEL;9782226115157;HACHETTE;;;
BD000392;TRAMBER;;TROP BREIZH;;15.09;14.34;;5345137;AU BORD DES CONTINENTS;9782911684180;HACHETTE;;;
BD000393;FROLLO;;LIENS DE FEMMES;;24.39;23.17;;4160453;BAGHEERA;9782908406702;HACHETTE;;;
BD000394;UTATANE;COMPTE A REBOURS;COMPTE A REBOURS;;12.5;11.88;MANGA X;5071055;BEDEROGENE;9782747400053;HACHETTE;Préparez-vous à vous éclater . Ces dix histoires du dessinateur UTATANE, particulièrement apprécié pour la clarté et la précision de son style, brisent tous les tabous et vous offrent le meilleur de l'érotique hardcore. Pas de censure dans cette édition que l'artiste lui-même a spécialement revue afin d'y rétablir les passages interdits au Japon.;;
BD000395;YUI;HOT TAILS;HOT TAILS - T1;;12.5;11.88;MANGA X;5071048;BEDEROGENE;9782747400084;HACHETTE;En direct de la planche à dessin de YUI, découvrez une véritable cascade de contes lubriques. Une débauche de relations illicites, de sadomasochisme, de transexualité, de domination et bien plus encore.;;
BD000396;FRETET;;SEX ADDICT STORY;;12.04;12.04;;5353057;GEISHA;9782914094054;HACHETTE;;;
BD000397;LECUREUX;RAHAN;LA MONTAGNE FENDUE;;10.52;9.99;;5342019;LECUREUX;9782913567054;HACHETTE;;;
BD000398;BLAIR;DICK SWEENIE;DICK SWEENIE - T1;;10.52;9.99;;5349303;PAQUET;9782940199341;HACHETTE;Satire corrosive des films et séries B sur l'invasion de la Terre par les extraterrestres. Des complots, des mystères, des hommes en noir, de nombreux clans qui s'affrontent dans un décor burlesque d'Amérique profonde. Le premier tome des Aventures de Dick Sweenie place d'ores et déjà la saga parmi les ouvrages de BD d'humour caustique.;;
BD000399;GILLON;LES LEVIATHANS;LA DENT DE L'ALLIGATOR - T2;;10.52;9.99;;6055297;ALBIN MICHEL;9782226113733;HACHETTE;;;
BD000400;ELLIS / CASSADAY;PLANETARY;TERRA INCOGNITA - T1;;12.5;11.88;FANTASTIQUE;5303482;SOLEIL PRODUCTIONS;9782845650640;HACHETTE;;;
BD000401;COLLECTIF;SALUT LES COQUINES;LA SIRENE DE L'ESPACE - T3;;8.84;8.4;EROTIQUE;204361;ARBORIS;9789034410610;HAVAS;;;
BD000402;NUNES;SALUT LES COQUINES;DUR DUR LES FAIBLES FEMMES - T4;;8.84;8.4;EROTIQUE;208048;ARBORIS;9789034410641;HAVAS;;;
BD000403;COLLECTIF;INNUAT;INNUAT;;15.09;14.34;;5349360;PAQUET;9782940199396;HACHETTE;;;
BD000404;NUNES;SALUT LES COQUINES;CA ALORS - T6;;8.84;8.4;EROTIQUE;240805;ARBORIS;9789034410696;HAVAS;;;
BD000405;ALESSANDRINI / MOLITERNI;INDIANA JONES;LE GRIMOIRE MAUDIT - T3;;9.15;8.69;AVENTURE;4160172;BAGHEERA;9782908406467;HACHETTE;;;
BD000406;BECH;AIDA NOUR;ENIGME AU CAIRE;;9.15;8.69;AVENTURE;181281;BAGHEERA;9782908406290;HACHETTE;;;
BD000407;BRANDOLI / DE ANGELIS;;CUBA 42;;9.15;8.69;AVENTURE;4160214;BAGHEERA;9782908406276;HACHETTE;;;
BD000408;CHRIS;MARIE ROSE AND CO;LEVE TON CUL - T1;;9.15;8.69;HUMOUR;4160271;BAGHEERA;9782908406108;HACHETTE;;;
BD000409;CHRIS;MARIE ROSE AND CO;ET DIRE QUE DIEU CREA LA FEMME - T2;;9.15;8.69;HUMOUR;4160289;BAGHEERA;9782908406122;HACHETTE;Grand Prix de l' Humour Noir BD en 1991 décerné par le C.E.S.A.R;;
BD000410;COLLECTIF;;BD FAIT SA CUISINE;;13.57;12.89;HUMOUR;4160297;BAGHEERA;9782908406542;HACHETTE;;;
BD000411;DIRKS;;LES KIDS;;9.15;8.69;HUMOUR;4160263;BAGHEERA;9782908407075;HACHETTE;;;
BD000412;SERPIERI;L'INDIENNE BLANCHE;L'INDIENNE BLANCHE;;9.15;8.69;EROTIQUE;4160149;BAGHEERA;9782908406337;HACHETTE;;;
BD000413;SERPIERI;;CROQUIS;;17.53;16.66;EROTIQUE;4160107;BAGHEERA;9782908406368;HACHETTE;Depuis une dizaine d'années, SERPIERI sillonne le monde. Toujours à la recherche de moments insolites, sa curiosité l'a guidé dans les endroits les plus secrets des villes les plus chaudes : San Diego sur le plateau d'un film hard, Mexico dans l'une de ces maisons de rendez-vous style années 30, Bangkok avec ses jolies Thaïlandaises aux cuissardes provocatrices, Paris dans l'un des théatres de la rue Fontaine, Rome sur le plateau de la Nave au moment ou Federico Fellini le réalisait, Cheyenne à la rencontre d'une belle Indienne aux goûts très spéciaux, etc... SERPIERI, toujours le carnet de croquis à la main, nous raconte ses pérégrinations dans une trentaine de villes et nous dévoile ces femmes dont il a gardé un souvenir impérissable.;;
BD000414;SERPIERI;DRUUNA;MORBUS GRAVIS - T1;;13.57;12.89;EROTIQUE;4160396;BAGHEERA;9782908406146;HACHETTE;C'est le premier tome de la série Druuna.<br>On y retrouve Druuna dans un monde rongé par un mal étrange. Elle vendra son corps pour ce sérum qui doit redonner un peu d'humanité à son compagnon et elle découvrira une partie du mystère qui règne sur ce monde inquiétant.;;
BD000415;SERPIERI;DRUUNA;DRUUNA - T2;;13.57;12.89;EROTIQUE;4160404;BAGHEERA;9782908406153;HACHETTE;Ecoute moi attentivement, Druuna : tu dois chercher à rejoindre, au plus vite, le coeur de la cité, tu y trouveras une tour... La Tour du Pouvoir. Nous l'appelons ainsi car nous y rassemblons à l'intérieur, toutes les connaissances et témoignages de vérité...;;
BD000416;SERPIERI;DRUUNA;CREATURA - T3;;13.57;12.89;EROTIQUE;4160412;BAGHEERA;9782908406009;HACHETTE;;;
BD000417;SERPIERI;DRUUNA;CARNIVORA - T4;;13.57;12.89;EROTIQUE;4160420;BAGHEERA;9782908406214;HACHETTE;Les références aux classiques de la science-fiction sont de plus en plus nombreux dans la série Druuna avec Alien, 2001 l'Odyssée de l'espace, et cette fois Blade Runner. En effet, le vaisseau arrive aux confins de l'univers à la limite entre deux dimensions. D'un coté le bien et de l'autre le mal. C'est sur cette brèche que Druuna devra faire face aux réplicants, ces êtres maléfiques qui, petit à petit prennent possession du vaisseau, sont le reflet obscur de l'équipage du navire. Toujours aussi prenant et surprenant, SERPIERI a une imagination sans limite.;;
BD000418;SERPIERI;DRUUNA;MANDRAGORA - T5;;13.57;12.89;EROTIQUE;4160438;BAGHEERA;9782908406320;HACHETTE;L'ordinateur CP1 réagit bizarrement, un esprit d'énergie pure semble s'être introduit dans sa mémoire, de plus le mal s'est introduit dans le vaisseau. Doc et son équipe vont alors chercher un moyen d'enrayer ce mal avant qu'il ne se répende dans le vaisseau. Pour cela Druuna devra entrer dans l'esprit du CP1 et retrouver le monde irréel dans lequel elle a vécu si longtemps. Sa tâche sera de découvrir la composition du sérum pour la rapporter à l'équipe du DOC. Une suite à ne pas rater.;;
BD000419;SERPIERI;DRUUNA;APHRODISIA - T6;;13.57;12.89;EROTIQUE;4160446;BAGHEERA;9782908406504;HACHETTE;Sixième épisode de la série et Druuna rencontre son clône possédé par l'esprit de Lewis. Dans cette histoire Druuna ne sait plus si elle est réelle ou si elle n'est que le rêve de la vraie Druuna...;;
BD000420;SERPIERI;DRUUNA;OBSESSION;;24.39;23.17;EROTIQUE;4160065;BAGHEERA;9782908406061;HACHETTE;Obsession est certainement le plus bel album de SERPIERI dédié à Druuna. On y retrouve croquis et dessins aux crayons aquarellables...;;
BD000421;SERPIERI;DRUUNA X;DRUUNA X - T1;;24.39;23.17;EROTIQUE;4160073;BAGHEERA;9782908406306;HACHETTE;Tout ce que vous avez toujours voulu savoir sur Druuna sans avoir jamais osé le demander. SERPIERI nous retrace la naissance de Druuna, cette femme sauvage au physique généreux qui va s'imposer comme l'héroïne de sa plus célébre série.;;
BD000422;SERPIERI;DRUUNA X;DRUUNA X - T2;;24.39;23.17;EROTIQUE;4160081;BAGHEERA;9782908406535;HACHETTE;Tout ce que vous avez toujours voulu savoir sur Druuna sans avoir jamais osé le demander. SERPIERI nous retrace la naissance de Druuna, cette femme sauvage au physique généreux qui va s'imposer comme l'héroïne de sa plus célébre série.;;
BD000423;GAUMER / RODOLPHE;;LES SCENARISTES;;10.98;10.43;;4160305;BAGHEERA;9782908406221;HACHETTE;;;
BD000424;GAUMER / RODOLPHE;;SERIES SERIALS OR NOT SERIALS;;9.15;8.69;;181295;BAGHEERA;9782908406313;HACHETTE;;;
BD000425;GIGI;UGAKI;LE SERMENT DU SAMOURAI - T1;;13.57;12.89;AVENTURE;4160248;BAGHEERA;9782908406030;HACHETTE;;;
BD000426;GIGI;UGAKI;L'ESCRIMEUR FOU - T2;;13.57;12.89;AVENTURE;4160255;BAGHEERA;9782908406047;HACHETTE;;;
BD000427;GIMENEZ / DALPRA;;REGARD DE L'APOCALYPSE;;13.57;12.89;FANTASTIQUE;4160198;BAGHEERA;9782908406054;HACHETTE;;;
BD000428;MARTIN / PLEYERS;KEOS;OSIRIS;;9.15;8.69;AVENTURE;181373;BAGHEERA;9782908406115;HACHETTE;;;
BD000429;ROTUNDO / FERRANDINO;SERRA TORBARA;LES LARMES DE JUDAS - T1;;9.15;8.69;AVENTURE;4160222;BAGHEERA;9782908406177;HACHETTE;;;
BD000430;SICOMORO / MOLITERNI;;SIDA CONNECTION - T2;;13.57;12.89;AVENTURE;4160206;BAGHEERA;9782908406191;HACHETTE;;;
BD000431;COLLECTIF;TALES FROM THE CRYPT;COFFRET TALES FROM THE CRYPT T5 A T8;;35.98;34.18;;9741794;ALBIN MICHEL;9782226121028;HACHETTE;;;
BD000432;MAILLE;;AFFAIRE BAXTERS;;11.89;11.3;;229801;BOOK MAKER;9782912425010;HACHETTE;;;
BD000433;BRETECHER;;MERS - T1;;9.76;9.27;HUMOUR;65536;BRETECHER;9782901076162;MDS;;;
BD000434;BRETECHER;;BOLOT OCCIDENTAL - T2;;9.76;9.27;HUMOUR;65535;BRETECHER;9782901076155;MDS;;;
BD000435;BRETECHER;DOCTEUR VENTOUSE;DOCTEUR VENTOUSE BOBOLOGUE - INTEGRALE - T4;;14.94;14.19;HUMOUR;226794;BRETECHER;9782901076261;MDS;;;
BD000436;BRETECHER;;MOULE DEMOULE - T5;;9.76;9.27;HUMOUR;201654;BRETECHER;9782901076230;MDS;;;
BD000437;BRETECHER;;LE DESTIN DE MONIQUE;;9.76;9.27;HUMOUR;239175;BRETECHER;9782901076285;MDS;;;
BD000438;BRETECHER;AGRIPPINE;AGRIPPINE - T1;;9.76;9.27;HUMOUR;46432;BRETECHER;9782901076124;MDS;;;
BD000439;BRETECHER;AGRIPPINE;AGRIPPINE PREND VAPEUR - T2;;9.76;9.27;HUMOUR;80955;BRETECHER;9782901076179;MDS;;;
BD000440;BRETECHER;AGRIPPINE;COMBATS D'AGRIPPINE - T3;;9.76;9.27;HUMOUR;98793;BRETECHER;9782901076186;MDS;;;
BD000441;BRETECHER;AGRIPPINE;AGRIPPINE ET LES INCLUS - T4;;9.76;9.27;HUMOUR;189068;BRETECHER;9782901076209;MDS;;;
BD000442;BRETECHER;AGRIPPINE;AGRIPPINE ET L'ANCETRE - T5;;9.76;9.27;HUMOUR;248268;BRETECHER;9782901076278;MDS;;;
BD000443;BRETECHER;LES FRUSTRES;LES FRUSTRES - T2;;9.76;9.27;HUMOUR;38000;BRETECHER;9782901076032;MDS;;;
BD000444;BRETECHER;LES FRUSTRES;LES FRUSTRES - INTEGRALE;;24.39;23.17;HUMOUR;202653;BRETECHER;9782901076247;MDS;;;
BD000445;HERGE;TINTIN;TINTIN AU CONGO;;8.84;8.4;AVENTURE;;CASTERMAN;9782203001015;UNION DISTRIBUTION;Album cartonné en français;;
BD000446;STIBANE / VAN LINTHOUT;LES ENQUETES SCAPOLA;LE MANUSCRIT DE JUDAS;;8.54;8.11;;CF2601;CASTERMAN;9782203356337;UNION DISTRIBUTION;ALBUM CARTONNE;;
BD000447;DUGOMIER / SAIVE;LES JEUX SONT FAITS;LA CHANCE TOURNE;;8.54;8.11;;CF2606;CASTERMAN;9782203356382;UNION DISTRIBUTION;ALBUM BROCHE;;
BD000448;SWYSEN;ALBERT LOMBAIRE;VOUS PRENDREZ BIEN QUELQUE CHOSE DOCTEUR;;8.54;8.11;;CF2607;CASTERMAN;9782203356399;UNION DISTRIBUTION;ALBUM BROCHE;;
BD000449;HERGE;TINTIN;TINTIN AU CONGO (1931) - FAC SIMILE EN FRANCAIS - Rupture Editeur;;;;AVENTURE;CF0053;CASTERMAN;9782203011120;UNION DISTRIBUTION;116 PAGES NOIR ET BLANC;16.62;15.79
BD000450;SERA / SAIMBERT;LES PROCESSIONNAIRES;LE GRAND PASSAGE - T1;;12.04;11.44;;6062657;ALBIN MICHEL;9782226114808;HACHETTE;Coupables ou innocents bientôt viendra le jugement pour les processionnaires...;;
BD000451;HERGE;TINTIN;TINTIN AUX PAYS DES SOVIETS (1930) - FAC SIMILE EN FRANCAIS;;16.62;15.79;AVENTURE;;CASTERMAN;9782203011014;UNION DISTRIBUTION;148 PAGES NOIR ET BLANC;;
BD000452;HERGE;TINTIN;TINTIN AU PAYS DES SOVIETS;;8.84;8.4;AVENTURE;;CASTERMAN;9782203001008;UNION DISTRIBUTION;Cette aventure est celle de la naissance de Tintin et elle est, rien qu'en cela, inestimable. L'album sort en 1930 et sera tiré à 10 000 exemplaires, preuve du succès immédiat de la série. Mais il ne sera ni réimprimé ni adapté pour la couleur comme le furent les huit autres albums parus ensuite en noir et blanc. Devenu mythique après la guerre et introuvable, il ne fut plus disponible - hors divers tirages limités aux amateurs - avant sa réédition en 1981, en version Fac Similé. Le tirage anniversaire de janvier 99, sous même présentation et prix que les 22 albums en couleurs, est destiné à rendre accessible à tous les amoureux de Tintin ce numéro zéro, dans toute son authenticité et ses hésitations de l'époque.<br>Album couverture cartonnée.;;
BD000453;ROBBERECHT / RENIER;LA SMALA;FAMILIALE POURSUITE;;8.54;8.11;;CF1647;CASTERMAN;9782203356276;UNION DISTRIBUTION;;;
BD000454;ROBBERECHT / RENIER;LA SMALA;PRISE DE TETE;;8.54;8.11;;CF2605;CASTERMAN;9782203356375;UNION DISTRIBUTION;;;
BD000455;HERGE;TINTIN;TINTIN EN AMERIQUE;;8.84;8.4;AVENTURE;;CASTERMAN;9782203001022;UNION DISTRIBUTION;Album cartonné en français;;
BD000456;ROBBERECHT / RENIER;DEEP MAURICE ET GOLOGAN;PAGAILLE CHEZ LES SAMOURAIS;;8.54;8.11;;CF2602;CASTERMAN;9782203356344;UNION DISTRIBUTION;;;
BD000457;CANALES / GUARDINO;BLACKSAD;QUELQUE PART ENTRE LES OMBRES - T1;;12.5;11.88;THRILLER;14100;DARGAUD;9782203049657;MDS;Attention chef-d'oeuvre ! L'histoire d'un privé qui veut venger son ex-fiancée assassinée, rappelle celle des grands maîtres du polar le plus noir. Cette tragédie classique est transfigurée par un dessin sublime, d'une maestria époustouflante, qui fait de ce polar l'une des plus grandes surprises de l'année.;;
BD000458;DISNEY;DINOSAURE;DINOSAURE;;7.93;7.53;;42060;DARGAUD;9782908803563;MDS;Une famille de makis (singes lémuriens) sauve un oeuf de dinosaure sur le point d'éclore et le prénomme Aladar. Des années plus tard, un météore s'écrase sur terre détruisant leur île. Aladar et les siens se réfugient chez une tribu de dinosaures.;;
BD000459;MONTEIL / LARME;LES SORCIERES;LES SORCIERES;;9.91;9.41;HUMOUR;4160370;BAGHEERA;9782908406658;HACHETTE;;;
BD000460;SCHIMPP / LALIA;BELZAREK;LA MESSAGERE DE L'ENFER - T2;;12.96;12.31;;6055255;ALBIN MICHEL;;HACHETTE;;;
BD000461;LALIA;LOVECRAFT;LE MANUSCRIT OUBLIE - T2;;14.94;14.19;;6063960;SEFAM;9782226116277;HACHETTE;Tremblez mortels, LOVECRAFT est de retour avec cette nouvelle adaptation par Horacio LALIA des meilleurs textes de terreur du maître américain. L'empreinte du mal étreint cet album et tous les thèmes chers à LOVECRAFT sont présents : la terreur rampante, l'indicible peur, les grands anciens, Arkham, Nyarlathotep, le manuscrit maudit relié de peau humaine. Un album à lire la nuit, bien sûr, pour frissonner de peur et de bonheur.;;
BD000462;HERGE;TINTIN;TINTIN EN AMERIQUE (1931);;16.62;15.79;AVENTURE;;CASTERMAN;9782203011137;UNION DISTRIBUTION;FAC SIMILE 128 PAGES NOIR ET BLANC;;
BD000463;HERGE;TINTIN;LES CIGARES DU PHARAON;;8.84;8.4;AVENTURE;CF0004;CASTERMAN;9782203001039;UNION DISTRIBUTION;Album cartonné en français;;
BD000464;TRONCHET;FAMILLE POISSART;PAUVRES MAIS FIERS;;12.04;11.44;;6062715;ALBIN MICHEL;9782226114853;HACHETTE;;;
BD000465;MONSIEUR B;GUIDES EN BD;LA VERITE SUR LE DEMENAGEMENT;;8.99;8.54;HUMOUR;6063937;SEFAM;9782226120304;HACHETTE;;;
BD000466;MEUNIER;GUIDES EN BD;LA VERITE SUR LE REGIME;;8.99;8.54;HUMOUR;6056550;SEFAM;9782226114761;HACHETTE;;;
BD000467;MONSIEUR B;GUIDES EN BD;LA VERITE SUR LE PERMIS DE CONDUIRE;;8.99;8.54;HUMOUR;6063655;ALBIN MICHEL;9782226117199;HACHETTE;;;
BD000468;MEUNIER;GUIDES EN BD;LA VERITE SUR LE MARIAGE;;8.99;8.54;HUMOUR;6054381;SEFAM;9782226107415;HACHETTE;;;
BD000469;HERGE;TINTIN;LES CIGARES DU PHARAON (1934) - FAC SIMILE N&B;;16.62;15.79;AVENTURE;;CASTERMAN;9782203011045;UNION DISTRIBUTION;FAC SIMILE 132 PAGES NOIR ET BLANC;;
BD000470;RODRIGUE / BOUZIG;GUIDES EN BD;LA VERITE SUR LE BEBE;;8.99;8.54;HUMOUR;6054399;SEFAM;9782226109422;HACHETTE;;;
BD000471;HERGE;TINTIN;LE LOTUS BLEU;;8.84;8.4;AVENTURE;CF0005;CASTERMAN;9782203001046;UNION DISTRIBUTION;Album cartonné en français;;
BD000472;STASSEN;DEOGRATIAS;DEOGRATIAS;;12.04;11.44;;6811533;DUPUIS;9782800129723;HACHETTE;Dépenaillé, les yeux brûlants de fièvre, Déogratias erre dans les rues de Butare, au Rwanda. Déogratias, pauvre fou, a besoin d'urwagwa, toujours plus d'urwagwa, la bière de banane. Pour oublier qu'il n'est plus qu'un chien terrorisé par la nuit. Pour oublier les cauchemars qui le hantent. Pour oublier que lui, le Hutu, a lâchement assassiné les femmes Tutsi qu'il aimait. Mais peut-on effacer de son esprit et de son corps la trace poisseuse du sang et le goût salé des larmes ? En choisissant de situer son nouvel album au Rwanda, avant et juste après le génocide, Jean-Philippe STASSEN place la barre très haut : comment exprimer l'indicible et peindre l'inqualifiable ? Avec Déogratias, il démontre magistralement qu'il n'est pas seulement un raconteur d'histoires mais aussi un rapporteur de l'Histoire, celle qu'on ne choisit pas mais qui s'impose par ses drames. Plus qu'un album émouvant, Déogratias est une oeuvre exceptionnelle empreinte d'une profonde humanité.;;
BD000473;SERVAIS / DEWAMME;TENDRE VIOLETTE;VIOLETTE - T2;;8.99;8.54;;;CASTERMAN;;UNION DISTRIBUTION;;;
BD000474;SERVAIS / DEWAMME;TENDRE VIOLETTE;TENDRE VIOLETTE COFFRET T1 ET T2;;17.99;17.09;;;CASTERMAN;;UNION DISTRIBUTION;;;
BD000475;SCHUITEN / PEETERS;LES CITES OBSCURES;VOYAGES EN UTOPIE;;22.11;21;;CF2689;CASTERMAN;;UNION DISTRIBUTION;;;
BD000476;BARU;LES ANNEES SPOUTNIK;LE PENALTY - T1;;8.54;8.11;;;CASTERMAN;;UNION DISTRIBUTION;;;
BD000477;BARU;LES ANNEES SPOUTNIK;C'EST MOI LE CHEF - T2;;8.54;8.11;;;CASTERMAN;;UNION DISTRIBUTION;;;
BD000478;HERGE;TINTIN;LE LOTUS BLEU (1936) - FAC SIMILE N&B;;16.62;15.79;AVENTURE;;CASTERMAN;9782203011052;UNION DISTRIBUTION;FAC SIMILE 140 PAGES NOIR ET BLANC;;
BD000479;HERGE;TINTIN;L'OREILLE CASSEE;;8.84;8.4;AVENTURE;;CASTERMAN;9782203001053;UNION DISTRIBUTION;Album cartonné en français;;
BD000480;FERRANDEZ;CARNETS D'ORIENT;ISTANBUL;;14.48;13.76;;CF2703;CASTERMAN;;UNION DISTRIBUTION;;;
BD000481;MAURICET / VANHOLME;MORT DE TROUILLE;LE VAMPIRE DES MARAIS - T1;;8.54;8.11;;;CASTERMAN;;UNION DISTRIBUTION;;;
BD000482;FAHRER / TRILLO;MON NOM N'EST PAS WILSON;PALEUR MORTELLE - T1;;8.54;8.11;;;CASTERMAN;;UNION DISTRIBUTION;;;
BD000483;DETHUIN / CORCAL;LE BOIS DES MYSTERES;LES ENFANTS HIBOUX;;8.54;8.11;;;CASTERMAN;;UNION DISTRIBUTION;;;
BD000484;DE BRAB / ZIDROU;CHOCO;BARAKA LA CATA;;8.54;8.11;;;CASTERMAN;;UNION DISTRIBUTION;;;
