ref	title	price_supplier	price	author	category	hero	editor	supplier	ref_editor	ref_supplier	synopsis
BD000121	LA SURVIVANTE - INTEGRALE	27.52	28.97	GILLON	AVENTURE	LA SURVIVANTE	ALBIN MICHEL	HACHETTE	6051916	9782226080035	Elle a survécu à l' Apocalypse. Dans un monde que la vie a quitté, elle est seule. Seule avec les robots. Elle est LA SURVIVANTE !... Réservé aux Adultes Avertis !
BD000122	BRUNE	10.86	11.43	GUIBERT	AVENTURE	BRUNE	ALBIN MICHEL	HACHETTE	6051502	9782226059987	
BD000123	GAZOLINE ET LA PLANETE ROUGE	7.53	7.93	JANO	HUMOUR	GAZOLINE	ALBIN MICHEL	HACHETTE	122954	9782226037251	
BD000124	KEMI LE RAT DE BROUSSE	8.26	8.69	JANO	HUMOUR	KEMI	ALBIN MICHEL	HACHETTE	6051718	9782226075154	
BD000125	PANAME	14.19	14.94	JANO	AVENTURE		ALBIN MICHEL	HACHETTE	6052146	9782226093455	
BD000126	LES FABULEUSES DERIVES DE LA SANTA SARDHINA	11.3	11.89	JANO	AVENTURE	SANTA SARDHINA	ALBIN MICHEL	HACHETTE	6055156	9782226107510	
BD000127	KEBRA KRADO KOMIX	6.08	6.4	JANO / TRAMBER	HUMOUR	KEBRA	ALBIN MICHEL	HACHETTE	6005888	9782226022806	
BD000128	LES AVENTURES DE KEBRA	21.58	22.71	JANO / TRAMBER	HUMOUR	KEBRA	ALBIN MICHEL	HACHETTE	6052088	9782226092533	
BD000129	LE LIVRE DE LA JUNGLE	17.6	18.29	KURTZMAN	AVENTURE		ALBIN MICHEL	HACHETTE	6052054	9782226089021	
BD000130	LES PERLES DE L'AMOUR	8.38	8.69	LEVIS / LEROI	AVENTURE		ALBIN MICHEL	HACHETTE	6050892	9782226022790	Romance sous le ciel brûlant des Indes, la rencontre en pleine jungle de Rudyard Kipling et du Marquis de Sade.
BD000131	A CORPS PERDU	9.41	9.91	LEVIS / LEROI	AVENTURE		ALBIN MICHEL	HACHETTE	124904	9782226039781	
BD000132	DODO LA PETITE PENSIONNAIRE	12.04	12.04	LEROI / ROMANINI	AVENTURE	DODO	ALBIN MICHEL	HACHETTE	6023311	9782226053213	Paris 1946. Marthe Richard fait voter la fermeture des maisons closes. Que vont devenir les pensionnaires du 27 et la charmante Dodo ?
BD000133	LEA - T1	8.26	8.69	LE TENDRE / ROSSI	AVENTURE	LES ERRANCES DE JULIUS ANTOINE	ALBIN MICHEL	HACHETTE	6050918	9782226022882	
BD000134	LA MAISON - T2	8.26	8.69	LE TENDRE / ROSSI	AVENTURE	LES ERRANCES DE JULIUS ANTOINE	ALBIN MICHEL	HACHETTE	6051015	9782226027351	
BD000135	LE SUJET - T3	8.54	8.99	LE TENDRE / ROSSI	AVENTURE	LES ERRANCES DE JULIUS ANTOINE	ALBIN MICHEL	HACHETTE	6051163	9782226037244	
BD000136	LES FEMMES DE LIBERATORE	20.13	21.19	LIBERATORE	ÉROTIQUE	LES FEMMES	ALBIN MICHEL	HACHETTE	6052203	9782226095329	
BD000137	RANXEROX A NEW YORK - T1	11.3	11.89	LIBERATORE / TAMBURINI	HUMOUR	RANXEROX	ALBIN MICHEL	HACHETTE	6037675	9782226088697	
BD000138	BON ANNIVERSAIRE LUBNA - T2	11.3	11.89	LIBERATORE / TAMBURINI	HUMOUR	RANXEROX	ALBIN MICHEL	HACHETTE	6037683	9782226088703	
BD000139	AMEN - T3	11.3	11.89	LIBERATORE / CHABAT	HUMOUR	RANXEROX	ALBIN MICHEL	HACHETTE	6052013	9782226087973	
BD000140	RANXEROX LA TOTALE	17.6	18.29	LIBERATORE / TAMBURINI	HUMOUR	RANXEROX	ALBIN MICHEL	HACHETTE	6026173	9782226059925	
BD000141	LES INTERDITS DE LOUP	14.19	14.94	LOUP	HUMOUR		ALBIN MICHEL	HACHETTE	6051452	9782226056863	
BD000142	MEMOIRES AVEC DAMES PAR MOREL COX	9.41	9.91	LOUSTAL / FROMENTAL	AVENTURE		ALBIN MICHEL	HACHETTE	6051122	9782226035578	
BD000143	LA FLEUR DU LOTUS - T2	8.54	8.99	MAGNUS	ÉROTIQUE	LES 110 PILULES	ALBIN MICHEL	HACHETTE	6050942	9782226025722	Les 110 pilules c'est 110 allers simple pour l'extase. Mais attention à ne pas dépasser la dose prescrite...
BD000144	FEMMES ENVOUTEES	8.54	8.99	MAGNUS	ÉROTIQUE		ALBIN MICHEL	HACHETTE	6051247	9782226039750	
BD000145	ARTHUR LE COMBATTANT	11.44	12.04	CHAUVEL / LECURELEY		ARTHUR	DELCOURT	FLAMMARION			An 500. Le royaume de Bretagne est assailli de toutes parts par des peuples ennemis. Alors apparaît un étrange enfant nommé Myrrdin, doué de facultés divinatoires stupéfiantes. Et après lui, un guerrier sans égal : Arthur. Son épopée nous est racontée dans son intégralité, en une série fleuve qui prend sa source à la légende originelle... Un mythe incomparable restitué dans toute sa splendeur.
BD000146	DANS L'COCHON TOUT EST BON	11.44	12.04	MAZAN		PHILIBERT	DELCOURT	FLAMMARION			Philibert est un gentil garçon qui évolue dans une société obsédée par la bouffe et étouffée par la pollution. Sur une magnifique plage, où la température de l'eau est maintenue par l'usine voisine, le jeune homme rencontre Léa, jolie anorexique qui bronze un masque à gaz sur le visage. Elle disparaît quelques jours plus tard, laissant le pauvre garçon désemparé. Les retrouvailles auront lieu sur le lieu de travail de Philibert : la morgue.
BD000147	LE PARFUM DE L'INVISIBLE - T1	11.44	12.04	MANARA	ÉROTIQUE	LE PARFUM DE L'INVISIBLE	ALBIN MICHEL	HACHETTE	6050959	9782226027283	Un professeur de physique honnête et naïf, a mis au point une pommade qui lui permet de se rendre invisible. Il veut ainsi épier Béatrice, une jeune danseuse qu'il aime secrètement depuis son enfance. Miel (toujours aussi belle ), le découvre à moitié invisible dans sa chambre d'hôtel. Elle essaiera donc de le convaincre que Béatrice n'est pas celle qu'il croit, mais plutôt une diablesse prétentieuse.
BD000148	LE PARFUM DE L'INVISIBLE - T2	9.99	10.52	MANARA	ÉROTIQUE	LE PARFUM DE L'INVISIBLE	ALBIN MICHEL	HACHETTE	6051874	9782226078179	
BD000149	COURTS METRAGES	9.99	10.52	MANARA	ÉROTIQUE		ALBIN MICHEL	HACHETTE	6017917	9782226032904	Plusieurs histoires (courts métrages) chaudes et délirantes de la même veine que l'album HP et Giuseppe Bergman.
BD000150	CANDIDE CAMERA	8.54	8.99	MANARA	ÉROTIQUE		ALBIN MICHEL	HACHETTE	6051239	9782226039736	Miel travaille pour une société de production télévisuelle qui veut monter une émission genre micro-trottoir coquin. Devant le fiasco de ce micro trottoir, Miel décide de passer devant la caméra. S'ensuivront alors une série de situations torrides ou Miel nous apparaîtra dans son plus simple apparat.
BD000151	LES FEMMES DE MANARA	28.68	30.18	MANARA	ÉROTIQUE		ALBIN MICHEL	HACHETTE	6051908	9782226079992	Les filles de MANARA ne sont pareilles que dans la perfection. Elles semblent si lisses à première vue que l'oeil qui glisse les confond. Il faut prendre le temps de les détailler. S'y attarder. C'est dans l'étirement d'un regard. Dans la fossette d'une croupe. Dans le tombé d'une crinière ou le déboîtement d'une hanche. Un détail les distingue, toujours, comme une broutille les habille. Les filles de MANARA ne sont pas des perles de culture. Ce sont des perles sauvages. Toutes somptueuses, voluptueuses, toutes différentes. Regardez-les. Prenez le temps de les détailler, de les déchiffrer. Chacune a son histoire.
BD000152	RENDEZ VOUS FATAL	9.99	10.52	MANARA	ÉROTIQUE		ALBIN MICHEL	HACHETTE	6052039	9782226088499	Valéria est mariée à un jeune homme naïf, qui essaie de percer dans le monde politique. Mais son jeune politicien de mari doit de l'argent, beaucoup d'argent à des personnes pas très fréquentables. C'est ainsi qu'elle va se retrouver nez-à-nez avec une bande de mafieux. Alors commenceront les remboursements en nature. Ou qu'elle aille, Ursus sera toujours là pour la détrousser un peu plus...
BD000153	KAMA SUTRA	14.19	14.94	MANARA	ÉROTIQUE		ALBIN MICHEL	HACHETTE	6052187		Cette récente production de Manara met en scène Parva et. Lulu, deux jeunes filles pas farouches. C'est par hasard que Parva met la main sur une ceinture magique qui va libérer l'esprit de Shiva, créature mythique qui s'incamera en jeune éphèbe à la pleine lune d'août à condition que Lulu triomphe de nombreuses épreuves dans lesquelles elle devra user de tous ses talents. Si elle triomphe, elles seront alors libérées et Parva pourra rejoindre Shiva. Une fois de plus MANARA nous transporte dans un univers très sensuel grâce à son trait toujours aussi suggestif . De plus cet album couleur est l'occasion pour l'artiste de s'essayer aux nouvelles technologies par l'emploi d'incrustations et de montages d'images numériques et de dessins. Miel travaille pour une société de production télévisuelle qui veut monter une émission genre micro trottoir coquin. Devant le fiasco de ce micro trottoir, Miel décide de passer devant la caméra. S'ensuivront alors une série de situations torrides ou Miel nous apparditra dans son
BD000154	LE PIEGE	11.44	12.04	MANARA	ÉROTIQUE		ALBIN MICHEL	HACHETTE	6052435	9782226106308	Deux jeunes nymphettes chauffent le Web en s'exhibant devant une web caméra. Mais quand une invité surprise débarque et se met à jouer avec la caméra, qui sait ce qu'il peut arriver lorsque son ex la voit ainsi sur le web. Une histoire coquine, prétexte à des scènes très dénudées sous le trait sensuel de MANARA.
BD000155	LA BETE	12.04	12.04	MANARA	ÉROTIQUE		LA MUSARDINE	MUSARDINE	F741		Parue en 1976 sous le titre Le Singe, cette œuvre de jeunesse adapte très librement une légende chinoise du XVème siècle. A cette base, MANARA et son scénariste, Silviero PISU, ajoutent leurs propres ingrédients politiques, philosophiques et bien sûr érotiques. Une histoire étrange sur la quête du pouvoir, un pays imaginaire en orient, un singe ambitieux : LA BETE. Une fois de plus MANARA nous étonne.
BD000156	LES LOIS IMMORALES 1 ERE PARTIE - T19	6.08	6.4	HAGIWARA	MANGA	BASTARD	GLÉNAT	HACHETTE	7364540		Dark Schneider est le plus puissant sorcier des Forces du Mal, mais un sortilège l'a transformé en un inoffensif gamin. Seul le baiser d'une jeune fille peut lui rendre ses pouvoirs et l'obliger à défendre le royaume de Metalicana. Inspiré par les jeux de rôles, Bastard, c'est toute la richesse de l'heroïc fantasy japonaise pleine d'humour et de dérision. Projeté dans les enfers, Dark Schneider est confronté à Satan lui-même. Mais ses pouvoirs ne sont rien comparés à ceux des démons. Pourtant, ces derniers ont besoin de lui. Pourquoi ? Serait-il un élément clef qui permettrait au Prince des Ténèbres de renverser Dieu et de régner sur l'univers ?
BD000157	LE DECLIC - T2	11.44	12.04	MANARA	ÉROTIQUE	LE DECLIC	ALBIN MICHEL	HACHETTE	6051387	9782226055637	
BD000158	LE DECLIC - T3	11.44	12.04	MANARA	ÉROTIQUE	LE DECLIC	ALBIN MICHEL	HACHETTE	6051700	9782226075017	
BD000159	LE DECLIC INTEGRALE	24.48	25.76	MANARA	ÉROTIQUE	LE DECLIC	ALBIN MICHEL	HACHETTE	6052047	9782226088628	Claudia Christiani est une jeune femme de bonne famille mariée à un homme âgé mais riche. C'est le médecin de famille, le docteur Fez, qui va déchaîner les pulsions de Claudia grâce à une mystérieuse télécommande dérobée au professeur Kranz. La jeune femme est alors intenable et s'offre à tous les hommes qu'elle croise, sur une simple commande du docteur Fez. Jusqu'au jour ou l'on découvre que la télécommande n'est en fait qu'une boîte vide ! Ce sont donc 3 albums qui sont réunis dans cette intégrale dans lequelle on pourra apprécier la belle Claudia. Cette BD a eu un tel succès qu'elle fut adaptée au cinéma en 1985.
BD000160	LA NUIT BARBARE	8.26	8.69	MARCELLO / OLLIVIER			ALBIN MICHEL	HACHETTE	6051080	9782226032898	
BD000161	Y A PLUS DE JEUNESSE	8.26	8.69	MARGERIN	HUMOUR		ALBIN MICHEL	HACHETTE	6051148	9782226035752	
BD000162	SQUEAK THE MOUSE - T2	9.41	9.91	MATTIOLI	HUMOUR	SQUEAK THE MOUSE	ALBIN MICHEL	HACHETTE	6051494	9782226059239	
BD000163	POUR VANITY	26.07	27.44	MATTOTTI			ALBIN MICHEL	HACHETTE	6015630	9782226029775	
BD000164	ZOMBIES LE MAITRE DES VERS	11.44	12.04	MIGNOLA / MC EOWN		ZOMBIES	ALBIN MICHEL	HACHETTE	6052443	9782226106315	
BD000165	MONSTRES SACRES	14.19	14.94	MORCHOISNE		MONSTRES SACRES	ALBIN MICHEL	HACHETTE	6037667	9782226088468	
BD000166	LE CHIEN DES BASKETVILLE	8.26	8.69	PETILLON	HUMOUR		ALBIN MICHEL	HACHETTE	6005136	9782226020734	
BD000167	LA FIN DU MONDE EST POUR CE SOIR	8.54	8.99	PETILLON	HUMOUR		ALBIN MICHEL	HACHETTE	6005730	9782226025630	
BD000168	L'ANNEE DU TAG	8.54	8.99	PETILLON	HUMOUR		ALBIN MICHEL	HACHETTE	6051361	9782226053817	
BD000169	BIENVENUE AUX TERRIENS	7.53	7.93	PETILLON	HUMOUR		ALBIN MICHEL	HACHETTE	6026314	9782226061119	
BD000170	LA CONJONCTURE EST GENERALE	8.54	8.99	PETILLON	HUMOUR		ALBIN MICHEL	HACHETTE	6026579	9782226060068	
BD000171	EN PLEIN DANS LE POTAGE	12.89	13.57	PETILLON	HUMOUR		ALBIN MICHEL	HACHETTE	6051775	9782226076885	
BD000172	C'EST L'EPOQUE QUI VEUT CA	11.44	12.04	PETILLON	HUMOUR		ALBIN MICHEL	HACHETTE	6052385	9782226105035	
BD000173	UNE SACREE SALADE - T1	7.53	7.93	PETILLON	HUMOUR	JACK PALMER	ALBIN MICHEL	HACHETTE	6003479	9782226017253	
BD000174	MISTER PALMER ET DOCTEUR SUPERMARKETSTEIN - T2	8.26	8.69	PETILLON	HUMOUR	JACK PALMER	ALBIN MICHEL	HACHETTE	6002257	9782226017277	
BD000175	LA DENT CREUSE - T3	8.26	8.69	PETILLON	HUMOUR	JACK PALMER	ALBIN MICHEL	HACHETTE	6003610	9782226017260	
BD000176	LES DISPARUS D'APOSTROPHES - T4	7.53	7.93	PETILLON	HUMOUR	JACK PALMER	ALBIN MICHEL	HACHETTE	6026322	9782226061126	
BD000177	LE CHANTEUR DE MEXICO - T5	7.53	7.93	PETILLON	HUMOUR	JACK PALMER	ALBIN MICHEL	HACHETTE	6026330	9782226061133	
BD000178	LE PRINCE DE LA BD - T6	7.53	7.93	PETILLON	HUMOUR	JACK PALMER	ALBIN MICHEL	HACHETTE	6026355	9782226061157	
BD000179	LE PEKINOIS - T7	7.53	7.93	PETILLON	HUMOUR	JACK PALMER	ALBIN MICHEL	HACHETTE	6026348	9782226061140	
BD000180	UN DETECTIVE DANS LE YUCCA - T8	9.99	10.52	PETILLON	HUMOUR	JACK PALMER	ALBIN MICHEL	HACHETTE	6051130	9782226035639	
BD000181	NARCO DOLLARS - T9	9.99	10.52	PETILLON	HUMOUR	JACK PALMER	ALBIN MICHEL	HACHETTE	6051254	9782226039774	
BD000182	UN PRIVE DANS LA NUIT - T10	9.99	10.52	PETILLON	HUMOUR	JACK PALMER	ALBIN MICHEL	HACHETTE	6051577	9782226063670	
BD000183	LE TOP MODEL - T11	10.86	11.43	PETILLON	HUMOUR	JACK PALMER	ALBIN MICHEL	HACHETTE	6051858	9782226076854	
BD000184	LE MEILLEUR ET LE PIRE DE JACK PALMER	9.99	10.52	PETILLON	HUMOUR	JACK PALMER	ALBIN MICHEL	HACHETTE	6054936	9782226109132	
BD000185	CATHARZIE - T1	11.44	12.04	YOANN / FERLUT	SCIENCE FICTION	ETHER GLISTER	DELCOURT	FLAMMARION			Suite à l'arrivée de colonies terriennes, la charmante planète Ether est devenue le lieu de nombreux conflits. Après d'apocalyptiques guerres, il ne reste plus qu'une atmosphère viciée et quelques survivants partagés en deux camps. Mais voilà qu'un professeur a mis au point un gaz curatif qui pourrait sauver la planète. C'est sa femme, Ether Glister, qui se rend sur place avec le fameux produit. A la veille de la grande réunification, chacun tente de retirer une épingle dans le jeu du nouvel échiquier qui se dessine, alors que les rues et places de la planète Ether se couvrent de gens qui aspirent à une vie nouvelle. Dans un tel contexte, le voyage d'Ether Glister est semé d'embûches et d'interrogations. Qu'est-il arrivé à son mari, le professeur, et qu'a-t-il mis au point exactement ? Quel avenir se dessine pour la planète Ether ? Autant demander qui est réellement Ether Glister. Ou ce qu'elle a été ?
BD000186	QUATERBACK - T1	11.44	12.04	KERFRIDEN / CHAUVEL	THRILLER	WADE MANTLE	DELCOURT	FLAMMARION			Manhattan, aux alentours de midi. Wade Mantle, célèbre joueur de football de l'équipe de Beavers, qui se rend à un rendez-vous avec le journaliste sportif Stephen Herek, est assassiné dans un parking souterrain. Peter Wadko, agent du FBI, est chargé de l'enquête. La télévision a tôt fait de relayer la nouvelle de la mort de Mantle. Deux personnes écoutant ces informations sont prises de panique : Red Greenberg, un des équipiers de Mantle, et Ralph Aparicio, le coach des Beavers. Red prend la fuite. Tout au long des 5 tomes que compte la série, le personnage central est l'agent du FBI, Peter Wadko. D'une banale enquête de meurtre, ce dernier passe à une affaire de grande envergure. Trois toiles de fond tissent cette série : tout d'abord une compétition intense entre le FBI et la CIA autour du meurtre, ensuite une intrigue de fond autour du mystère Vaughan (mafia russe, manipulations génétiques) et enfin, en toile de fond, viendront s'inscrire les vies de quatre joueurs de football américain.
BD000187	CAROLINE CHOLERA	7.53	7.93	PICHARD / DUBOS	ÉROTIQUE	CAROLINE CHOLERA	ALBIN MICHEL	HACHETTE	6001515	9782226014559	
BD000188	VENIN DE FEMMES	11.44	12.04	PRADO	ÉROTIQUE		ALBIN MICHEL	HACHETTE	6051742	9782226075635	
BD000189	LES COPINES	11.44	12.04	REISER	HUMOUR		ALBIN MICHEL	HACHETTE	6002133	9782226013415	
BD000190	ILS SONT MOCHES	9.99	10.52	REISER	HUMOUR		ALBIN MICHEL	HACHETTE	6002141	9782226013675	
BD000191	MON PAPA	9.99	10.52	REISER	HUMOUR		ALBIN MICHEL	HACHETTE	6002158	9782226013682	
BD000192	ON VIT UNE EPOQUE FORMIDABLE	9.99	10.52	REISER	HUMOUR		ALBIN MICHEL	HACHETTE	6002166	9782226013712	
BD000193	LA VIE DES BETES	11.44	12.04	REISER	HUMOUR		ALBIN MICHEL	HACHETTE	6002190	9782226013705	
BD000194	LA VIE AU GRAND AIR - T1	9.99	10.52	REISER	HUMOUR	LA VIE AU GRAND AIR	ALBIN MICHEL	HACHETTE	6002182	9782226013699	
BD000195	LA VIE AU GRAND AIR - T2	9.99	10.52	REISER	HUMOUR	LA VIE AU GRAND AIR	ALBIN MICHEL	HACHETTE	6036834	9782226087683	
BD000196	LA VIE AU GRAND AIR - T3	9.99	10.52	REISER	HUMOUR	LA VIE AU GRAND AIR	ALBIN MICHEL	HACHETTE	6037956	9782226092960	
BD000197	VIVE LES FEMMES	9.99	10.52	REISER	HUMOUR		ALBIN MICHEL	HACHETTE	6002208	9782226013729	
BD000198	VIVE LES VACANCES	9.99	10.52	REISER	HUMOUR		ALBIN MICHEL	HACHETTE	6002216	9782226013736	
BD000199	GROS DEGUEULASSE	9.99	10.52	REISER	HUMOUR		ALBIN MICHEL	HACHETTE	6003123	9782226015266	
BD000200	FOUS D'AMOUR	11.44	12.04	REISER	HUMOUR		ALBIN MICHEL	HACHETTE	6004022	9782226012661	
BD000201	JEANINE	9.99	10.52	REISER	HUMOUR		ALBIN MICHEL	HACHETTE	6017081	9782226029782	
BD000202	LA FAMILLE OBOULOT EN VACANCES	9.99	10.52	REISER	HUMOUR		ALBIN MICHEL	HACHETTE	6051155	9782226035769	
BD000203	LES OREILLES ROUGES	8.54	8.99	REISER	HUMOUR		ALBIN MICHEL	HACHETTE	6051437	9782226056801	
BD000204	TAM TAM	12.89	13.57	REISER	HUMOUR		ALBIN MICHEL	HACHETTE	6027940	9782226063823	
BD000205	DESSINS COCHONS	18.83	19.82	REISER	HUMOUR		ALBIN MICHEL	HACHETTE	6052310	9782226099945	
BD000206	ON EST PASSE A COTE DU BONHEUR (1974)	12.89	13.57	REISER	HUMOUR	LES ANNEES REISER	ALBIN MICHEL	HACHETTE	6031686	9782226075895	
BD000207	SONT PAS PLUS FORTS QUE NOUS (1975)	14.19	14.94	REISER	HUMOUR	LES ANNEES REISER	ALBIN MICHEL	HACHETTE	6032809	9782226077745	
BD000208	A BAS TOUT (1976)	14.19	14.94	REISER	HUMOUR	LES ANNEES REISER	ALBIN MICHEL	HACHETTE	6034532	9782226079985	
BD000209	VOTEZ PRINTEMPS (1977)	14.19	14.94	REISER	HUMOUR	LES ANNEES REISER	ALBIN MICHEL	HACHETTE	6035521	9782226085054	
BD000210	C'EST BEAU UNE FEMME (1978)	14.19	14.94	REISER	HUMOUR	LES ANNEES REISER	ALBIN MICHEL	HACHETTE	6037196	9782226085184	
BD000211	PLAGE PRIVEE (1979)	14.19	14.94	REISER	HUMOUR	LES ANNEES REISER	ALBIN MICHEL	HACHETTE	6040067	9782226094148	
BD000212	LA RUEE VERS RIEN (1980)	14.19	14.94	REISER	HUMOUR	LES ANNEES REISER	ALBIN MICHEL	HACHETTE	6043905	9782226105509	
BD000213	Y EN AURA POUR TOUT LE MONDE	11.44	12.04	REISER / COLUCHE	HUMOUR		ALBIN MICHEL	HACHETTE	6022693	9782226051547	
BD000214	SADO MASO CHIC	26.07	27.44	REMY	ÉROTIQUE		ALBIN MICHEL	HACHETTE	6034540	9782226080004	
BD000215	VIDEO NOIRE	12.89	13.57	RISSO / TRILLO			ALBIN MICHEL	HACHETTE	6052518	9782226106865	
BD000216	MANUEL DE SURVIE A L'USAGE DES BRICOLEURS	8.54	8.99	RODRIGUE / BRUNEL	HUMOUR	GUIDES EN BD	ALBIN MICHEL	HACHETTE	6052401	9782226105059	
BD000217	LE MANUEL DU PARFAIT JARDINIER	8.54	8.99	RODRIGUE / BRUNEL	HUMOUR	GUIDES EN BD	ALBIN MICHEL	HACHETTE	6052575	9782226107473	
BD000218	LE MANUEL DU PARFAIT CAMPEUR	8.54	8.99	RODRIGUE / BRUNEL	HUMOUR	GUIDES EN BD	ALBIN MICHEL	HACHETTE	6054928	9782226107503	
BD000219	LES CARNETS SECRETS DE JANICE	12.96	12.96	VON GOTHA / JOUBERT	ÉROTIQUE	JANICE	LA MUSARDINE	HACHETTE	5775176		Pour ce recueil, VON GOTHA a réalisé une cinquantaine de peintures et illustrations inspirées de ses Malheurs de Janice. En grand format, il a pu donner libre cours à son talent et à sa formation d'artistes classique. Jamais Janice n'avait été si belle et si convoîtée par les hommes, et Bernard JOUBERT a donné à cet album sa touche finale, avec des textes dans la lignée du marquis de Sade. - Album relié - 24x32 - 56 pages couleurs
BD000220	PAS DE PITIE POUR LE PRIVE	6.08	6.4	ROTUNDO / MIGNACCO	AVENTURE		ALBIN MICHEL	HACHETTE	113997	9782226022875	
BD000221	LA PEAU DE CHAGRIN	11.3	11.89	ROTUNDO / VOLINE	ÉROTIQUE		ALBIN MICHEL	HACHETTE	6052302	9782226095343	Surtout n'y touchez pas ! Elle donne vie à tous vos désirs en vous distillant la mort. Une transposition moderne et coquine du roman d'Honoré de Balzac.
BD000222	VIVEMENT CE SOIR QU'ON SE COUCHE	10.86	11.43	SCHLINGO	HUMOUR		ALBIN MICHEL	HACHETTE	6051288	9782226039743	
BD000223	PATRON UNE CUITE S'IL VOUS PLAIT	11.3	11.89	SCHLINGO	HUMOUR		ALBIN MICHEL	HACHETTE	6052252	9782226095848	
BD000224	AU NOM DU PERE - T1	12.31	12.96	SCHIMPP / LALIA		BELZAREK	ALBIN MICHEL	HACHETTE	605242	9782226107428	
BD000225	LE THEOREME DE BELL - T1	8.26	8.69	SCHULTEISS	FANTASTIQUE	LE THEOREME DE BELL	ALBIN MICHEL	HACHETTE	6050967	9782226022950	
BD000226	LE CONTACT - T2	8.26	8.69	SCHULTEISS	FANTASTIQUE	LE THEOREME DE BELL	ALBIN MICHEL	HACHETTE	6051056	9782226032850	
BD000227	LA SOLUTION - T3	8.26	8.69	SCHULTEISS	FANTASTIQUE	LE THEOREME DE BELL	ALBIN MICHEL	HACHETTE	6051197	9782226037367	
BD000228	LES FOURMIS - LA BD	8.54	8.99	SERRES / WERBER	FANTASTIQUE	LES FOURMIS	ALBIN MICHEL	HACHETTE	6051734	9782226075628	
BD000229	L'ILE DES AMAZONES ORCHID ISLAND	14.19	14.94	SIRE / DIONNET	AVENTURE		ALBIN MICHEL	HACHETTE	6052120	9782226094155	
BD000230	PUTAIN DE TELE	9.99	10.52	STAN / VINCE	HUMOUR		ALBIN MICHEL	HACHETTE	6051817	9782226078186	STAN et VINCE font exploser l'écran de vos stars préférées. Vous n'êtes pas près de changer de chaîne...
BD000231	LA GRANDE SOURIS NOIRE	7.53	7.93	TRAMBER	HUMOUR		ALBIN MICHEL	HACHETTE	6051098	9782226031570	
BD000232	PAS DE CADEAU A GROMAGO	9.99	10.52	TRAMBER	HUMOUR		ALBIN MICHEL	HACHETTE	6020614	9782226037374	
BD000233	RESTONS CALMES ET BUVONS FRAIS	9.99	10.52	TRAMBER	HUMOUR		ALBIN MICHEL	HACHETTE	6051585	9782226063762	
BD000234	LE SECRET DE PLEGASTEL	9.99	10.52	TRAMBER / JOUIN	THRILLER		ALBIN MICHEL	HACHETTE	6052104	9782226093493	
BD000235	BZH BRETAGNE ZONE HEUREUSE	14.19	14.94	TRAMBER / DAUTRIAT	HUMOUR		ALBIN MICHEL	HACHETTE	6052336	9782226100498	
BD000236	BANG BANG - T1	11.44	12.04	TRILLO / BERNET		BANG BANG	ALBIN MICHEL	HACHETTE	6052393	9782226105042	
BD000237	LA GRANDE ARNAQUE - T1	14.19	14.94	TRILLO / MANDRAFINA	AVENTURE	LA GRANDE ARNAQUE	ALBIN MICHEL	HACHETTE	6052278	9782226095947	
BD000238	L'IGUANE - T2	11.44	12.04	TRILLO / MANDRAFINA	AVENTURE	LA GRANDE ARNAQUE	ALBIN MICHEL	HACHETTE	6052492	9782226106834	
BD000239	L'ESPRIT DE FAMILLE - T1	11.44	12.04	TRILLO / MANDRAFINA	AVENTURE	VIEILLES CANAILLES	ALBIN MICHEL	HACHETTE	6055172	9782226108807	
BD000240	AU BONHEUR DES DRAMES	11.44	12.04	TRONCHET	HUMOUR	FAMILLE POISSART	ALBIN MICHEL	HACHETTE	6051684	9782226074577	
BD000241	LES ROIS DU RIRE	11.44	12.04	TRONCHET	HUMOUR	FAMILLE POISSART	ALBIN MICHEL	HACHETTE	6051981	9782226085160	
BD000242	CARRE NOIR SUR DAMES BLANCHES	8.26	8.69	VARENNE	ÉROTIQUE		ALBIN MICHEL	HACHETTE	6004717	9782226020208	
BD000243	EROTIC OPERA	8.26	8.69	VARENNE	ÉROTIQUE		ALBIN MICHEL	HACHETTE	6050983	9782226025739	
BD000244	AMOURS FOUS	9.99	10.52	VARENNE	ÉROTIQUE		ALBIN MICHEL	HACHETTE	6051312	9782226051561	Alex VARENNE vous emmène dans ses fantasmes...
BD000245	LE PLAN ASPIC - T1	9.99	10.52	GILLON		LES LEVIATHANS	ALBIN MICHEL	HACHETTE	6055305	9782226113740	
BD000246	LOLA	9.99	10.52	VARENNE	ÉROTIQUE	LOLA	ALBIN MICHEL	HACHETTE	6051619	9782226065605	Alex VARENNE vous emmène dans ses fantasmes...
BD000247	LA CORRECTION	18.83	19.82	VARENNE	ÉROTIQUE		ALBIN MICHEL	HACHETTE	207056	9782226092803	
BD000248	CARLOTTA	12.89	13.57	VARENNE	ÉROTIQUE		ALBIN MICHEL	HACHETTE	6052419	9782226105066	
BD000249	ERMA JAGUAR - T1	9.41	9.91	VARENNE	ÉROTIQUE	ERMA JAGUAR	ALBIN MICHEL	HACHETTE	6051106	9782226031594	Madone des autoroutes, nouvelle Diane chasseresse, personne n'est à l'abri de cette séductrice errante...
BD000250	LES NOCES D'ERMA - T2	9.41	9.91	VARENNE	ÉROTIQUE	ERMA JAGUAR	ALBIN MICHEL	HACHETTE	6051205	9782226037404	Celui qui épousera Erma n'est pas au bout de ses peines... Ni de ses surprises...
